media_type,media_name,year,women_expression_rate
tv,Paris Première,2017,21.8045650397315
tv,Paris Première,2018,23.70618637668973
tv,Paris Première,2019,25.80695850647196
tv,Planète+,2010,17.715349611731984
tv,Planète+,2011,15.7996663737333
tv,Planète+,2012,16.061340550154195
tv,Planète+,2013,15.655506944110725
tv,Planète+,2014,17.28267881071151
tv,Planète+,2015,15.88883396287792
tv,Planète+,2016,16.8856145839924
tv,Planète+,2017,16.269306054343215
tv,Planète+,2018,19.09040126613893
tv,Planète+,2019,20.50207190979987
tv,TF1,2010,32.37882301327677
tv,TF1,2011,34.654423904665926
tv,TF1,2012,35.93875193789674
tv,TF1,2013,36.48438235413872
tv,TF1,2014,36.73067839419855
tv,TF1,2015,35.346751840792244
tv,TF1,2016,37.39063527780904
tv,TF1,2017,38.11042499611489
tv,TF1,2018,38.20715691117824
tv,TF1,2019,41.98504626761073
tv,TV Breizh,2011,29.88416433895874
tv,TV Breizh,2012,29.34718928002188
tv,TV Breizh,2013,29.93932007974681
tv,TV Breizh,2014,30.173381802565675
tv,TV Breizh,2015,32.908707747674875
tv,TV Breizh,2016,32.10454221634168
tv,TV Breizh,2017,30.639224327268742
tv,TV Breizh,2018,31.890735697679023
tv,TV Breizh,2019,31.75347080977244
tv,TV5 Monde,2010,28.02868276237841
tv,TV5 Monde,2011,28.699712001358265
tv,TV5 Monde,2012,28.571515860816326
tv,TV5 Monde,2013,30.118738220183687
tv,TV5 Monde,2014,29.505054393289075
tv,TV5 Monde,2015,29.587629691667605
tv,TV5 Monde,2016,31.21215637964163
tv,TV5 Monde,2017,30.873578894303744
tv,TV5 Monde,2018,35.08081948299965
tv,TV5 Monde,2019,35.59168705994433
tv,Toute l'Histoire,2010,17.8601299587232
tv,Toute l'Histoire,2011,20.773158009032887
tv,Toute l'Histoire,2012,19.34772249241589
tv,Toute l'Histoire,2013,17.2191563576848
tv,Toute l'Histoire,2014,19.644503079324608
tv,Toute l'Histoire,2015,20.657402102193984
tv,Toute l'Histoire,2016,18.366167899366364
tv,Toute l'Histoire,2017,17.143527820296132
tv,Toute l'Histoire,2018,17.944907646051764
tv,Toute l'Histoire,2019,18.57596475017133
tv,Téva,2011,44.83728344018357
tv,Téva,2012,43.83392316365572
tv,Téva,2013,45.76238037783062
tv,Téva,2014,46.72192249956213
tv,Téva,2015,51.2108797193161
tv,Téva,2016,53.3579300360731
tv,Téva,2017,50.65505691204858
